Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0.24 mg/ml  Code: tmp
Parent(s): /Users/ellen/Documents/Statherin/SAXS/Grenoble_sep-17/Analysis/Series3/Other/avrg_001.dat
  1.118980e+00   1.196620e+00   3.599240e-01
  1.123670e+00   1.525620e+00   3.660880e-01
  1.128370e+00   1.581840e+00   3.596200e-01
  1.133070e+00   1.816660e+00   3.556250e-01
  1.137770e+00   1.085740e+00   3.594490e-01
  1.142460e+00   1.428650e+00   3.597590e-01
  1.147160e+00   1.574510e+00   3.600220e-01
  1.151860e+00   1.241650e+00   3.523880e-01
  1.156560e+00   7.738720e-01   3.536800e-01
  1.161250e+00   1.365280e+00   3.562400e-01
  1.165950e+00   1.323050e+00   3.630960e-01
  1.170650e+00   1.513890e+00   3.479070e-01
  1.175350e+00   1.825010e+00   3.500060e-01
  1.180050e+00   1.166110e+00   3.573200e-01
  1.184740e+00   1.465340e+00   3.603580e-01
  1.189440e+00   1.323630e+00   3.451440e-01
  1.194140e+00   7.024640e-01   3.530980e-01
  1.198840e+00   1.553860e+00   3.628910e-01
  1.203530e+00   8.989690e-01   3.728690e-01
  1.208230e+00   1.614160e+00   3.739700e-01
  1.212930e+00   1.247270e+00   3.794120e-01
  1.217630e+00   1.789060e+00   3.839010e-01
  1.222330e+00   8.723610e-01   3.927070e-01
  1.227020e+00   1.072920e+00   3.955600e-01
  1.231720e+00   1.158570e+00   3.926500e-01
  1.236420e+00   1.424860e+00   4.019380e-01
  1.241120e+00   1.644320e+00   4.042770e-01
  1.245810e+00   1.906890e+00   4.107780e-01
  1.250510e+00   1.215570e+00   3.970910e-01
  1.255210e+00   1.390180e+00   4.056510e-01
  1.259910e+00   1.424130e+00   4.093730e-01
  1.264600e+00   1.780680e+00   3.964810e-01
  1.269300e+00   1.616920e+00   3.774800e-01
  1.274000e+00   1.476970e+00   3.763230e-01
  1.278700e+00   9.840270e-01   3.760990e-01
  1.283400e+00   9.302340e-01   3.698500e-01
  1.288090e+00   9.989780e-01   3.614770e-01
  1.292790e+00   1.492680e+00   3.615680e-01
  1.297490e+00   8.275950e-01   3.616990e-01
  1.302190e+00   1.061470e+00   3.559950e-01
